"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"concurrencybench.Benchmarks.custom10","thrpt",1,200,0.326438,0.000267,"ops/s"
"concurrencybench.Benchmarks.custom5","thrpt",1,200,0.333357,0.000025,"ops/s"
"concurrencybench.Benchmarks.standard10","thrpt",1,200,0.130402,0.002045,"ops/s"
"concurrencybench.Benchmarks.standard5","thrpt",1,200,0.149004,0.002776,"ops/s"
"concurrencybench.Benchmarks.custom10","avgt",1,200,3.063509,0.002451,"s/op"
"concurrencybench.Benchmarks.custom5","avgt",1,200,2.999845,0.000218,"s/op"
"concurrencybench.Benchmarks.standard10","avgt",1,200,7.779474,0.130778,"s/op"
"concurrencybench.Benchmarks.standard5","avgt",1,200,6.784969,0.134049,"s/op"
"concurrencybench.Benchmarks.custom10","ss",1,200,3.063433,0.002465,"s/op"
"concurrencybench.Benchmarks.custom5","ss",1,200,2.999876,0.000255,"s/op"
"concurrencybench.Benchmarks.standard10","ss",1,200,7.744751,0.145846,"s/op"
"concurrencybench.Benchmarks.standard5","ss",1,200,6.874281,0.165972,"s/op"
