"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"concurrencybench.Benchmarks.customCloseThread","thrpt",1,200,12.773424,0.189318,"ops/us"
"concurrencybench.Benchmarks.customReadThread","thrpt",1,200,11.747501,0.254071,"ops/us"
"concurrencybench.Benchmarks.customReplyToThread","thrpt",1,200,0.053701,0.001533,"ops/us"
"concurrencybench.Benchmarks.standardCloseThread","thrpt",1,200,19.060255,0.890341,"ops/s"
"concurrencybench.Benchmarks.standardReadThread","thrpt",1,200,17.125153,0.508682,"ops/s"
"concurrencybench.Benchmarks.standardReplyToThread","thrpt",1,200,21.069009,1.507777,"ops/s"
"concurrencybench.Benchmarks.customCloseThread","avgt",1,200,0.078272,0.001083,"us/op"
"concurrencybench.Benchmarks.customReadThread","avgt",1,200,0.086634,0.002293,"us/op"
"concurrencybench.Benchmarks.customReplyToThread","avgt",1,200,19.057846,0.548138,"us/op"
"concurrencybench.Benchmarks.standardCloseThread","avgt",1,200,0.051498,0.003032,"s/op"
"concurrencybench.Benchmarks.standardReadThread","avgt",1,200,0.056834,0.002689,"s/op"
"concurrencybench.Benchmarks.standardReplyToThread","avgt",1,200,0.047537,0.003605,"s/op"
