"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"concurrencybench.Benchmarks.custom10","thrpt",1,200,0.324859,0.000154,"ops/s"
"concurrencybench.Benchmarks.custom5","thrpt",1,200,0.331663,0.000089,"ops/s"
"concurrencybench.Benchmarks.standard10","thrpt",1,200,0.104948,0.002681,"ops/s"
"concurrencybench.Benchmarks.standard5","thrpt",1,200,0.117080,0.002511,"ops/s"
"concurrencybench.Benchmarks.custom10","avgt",1,200,3.078533,0.001690,"s/op"
"concurrencybench.Benchmarks.custom5","avgt",1,200,3.015146,0.000760,"s/op"
"concurrencybench.Benchmarks.standard10","avgt",1,200,9.003747,0.198868,"s/op"
"concurrencybench.Benchmarks.standard5","avgt",1,200,8.587617,0.183642,"s/op"
"concurrencybench.Benchmarks.custom10","ss",1,200,3.078633,0.001616,"s/op"
"concurrencybench.Benchmarks.custom5","ss",1,200,3.015158,0.000779,"s/op"
"concurrencybench.Benchmarks.standard10","ss",1,200,9.522878,0.234168,"s/op"
"concurrencybench.Benchmarks.standard5","ss",1,200,8.565937,0.172522,"s/op"
