"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"concurrencybench.Benchmarks.customCloseThread","thrpt",1,200,8.347337,0.050497,"ops/us"
"concurrencybench.Benchmarks.customReadThread","thrpt",1,200,8.465854,0.049236,"ops/us"
"concurrencybench.Benchmarks.customReplyToThread","thrpt",1,200,0.038790,0.001074,"ops/us"
"concurrencybench.Benchmarks.standardCloseThread","thrpt",1,200,14.185069,0.255752,"ops/s"
"concurrencybench.Benchmarks.standardReadThread","thrpt",1,200,14.301118,0.284145,"ops/s"
"concurrencybench.Benchmarks.standardReplyToThread","thrpt",1,200,13.684201,0.270755,"ops/s"
"concurrencybench.Benchmarks.customCloseThread","avgt",1,200,0.119163,0.000636,"us/op"
"concurrencybench.Benchmarks.customReadThread","avgt",1,200,0.121164,0.001300,"us/op"
"concurrencybench.Benchmarks.customReplyToThread","avgt",1,200,26.074902,0.748394,"us/op"
"concurrencybench.Benchmarks.standardCloseThread","avgt",1,200,0.070855,0.001063,"s/op"
"concurrencybench.Benchmarks.standardReadThread","avgt",1,200,0.072095,0.001184,"s/op"
"concurrencybench.Benchmarks.standardReplyToThread","avgt",1,200,0.073009,0.001141,"s/op"
